VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  36.6%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  36.8%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  37%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  37.2%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  37.4%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  37.6%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  37.8%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  38%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  38.2%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  38.4%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  38.6%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  38.8%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  39%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  39.2%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  39.4%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  39.6%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  39.8%  
VIDEO ID (2408) :: Exporting to encrypted HLS for 360p at  40%  
[2022-07-04 02:06:41][2876] Failed:     App\Jobs\ConvertVideoQueue
[2022-07-04 21:13:45][3058] Processing: App\Jobs\ConvertVideoQueue
Job sent by Ferdiners Sdn Bhd [ id-2514]
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  20%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  20.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  20.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  20.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  20.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  21%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  21.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  21.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  21.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  21.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  22%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  22.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  22.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  22.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  22.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  23%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  23.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  23.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  23.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  23.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  24%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  24.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  24.4%  
[2022-07-04 21:15:27][3058] Processing: App\Jobs\ConvertVideoQueue
[2022-07-04 21:15:27][3058] Failed:     App\Jobs\ConvertVideoQueue
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  24.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  24.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  25%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  25.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  25.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  25.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  25.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  26%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  26.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  26.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  26.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  26.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  27%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  27.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  27.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  27.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  27.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  28%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  28.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  28.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  28.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  28.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  29%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  29.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  29.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  29.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  29.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  30%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  30.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  30.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  30.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  30.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  31%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  31.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  31.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  31.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  31.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  32%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  32.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  32.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  32.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  32.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  33%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  33.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  33.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  33.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  33.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  34%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  34.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  34.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  34.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  34.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  35%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  35.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  35.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  35.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  35.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  36%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  36.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  36.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  36.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  36.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  37%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  37.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  37.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  37.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  37.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  38%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  38.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  38.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  38.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  38.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  39%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  39.2%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  39.4%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  39.6%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  39.8%  
VIDEO ID (2514) :: Exporting to encrypted HLS for 360p at  40%  
[2022-07-04 21:20:46][3058] Processed:  App\Jobs\ConvertVideoQueue
